0.464	0.743	2.737	2.641
-0.618	0.503	-0.792	18.694
-0.289	-0.382	0.345	14.089
0.637	-1.030	0.747	10.091
0.907	-1.237	-0.658	11.871
-0.270	1.321	-0.760	19.809
-0.142	0.703	1.157	15.383
0.084	0.742	-1.041	7.933
-0.223	0.956	0.800	3.681
0.401	1.804	0.841	7.224
-0.015	0.756	0.481	13.087
0.673	0.249	1.261	15.731
0.552	-0.987	0.583	17.485
-0.874	0.977	-0.941	5.931
-1.597	-0.757	0.604	15.402
-0.823	0.436	-1.117	15.717
0.412	-0.912	-2.173	7.615
0.598	2.022	0.016	13.970
0.802	2.081	0.536	1.524
0.542	-0.694	-0.014	15.627
-0.657	0.830	0.343	9.685
-0.205	0.133	-0.699	13.348
0.753	-0.291	-0.845	7.968
0.184	0.346	0.241	19.341
2.137	0.614	1.583	7.332
-1.743	-1.542	0.338	7.517
0.322	-0.288	0.425	3.143
0.159	-2.195	0.060	16.860
-1.201	-0.757	-0.182	18.984
0.628	-0.254	-0.593	16.935
0.494	0.695	0.287	2.611
-0.886	0.272	-0.254	13.166
-0.484	-0.018	0.679	3.891
-0.008	-0.664	1.160	18.921
0.602	-0.279	0.522	5.507
-0.347	0.099	1.030	16.368
0.973	-0.100	-0.085	13.029
0.240	0.244	0.574	8.753
-0.157	1.003	-0.411	11.490
1.108	-1.284	-0.497	4.873
1.820	0.835	-1.716	17.582
0.640	0.571	-0.674	4.582
1.324	-0.541	1.232	18.767
0.715	-0.295	0.697	18.027
-0.213	-0.749	0.517	3.470
-0.192	0.858	0.480	19.275
-0.699	1.702	1.158	11.997
-0.683	-0.503	1.394	5.260
-0.229	0.801	0.752	19.483
-0.259	0.848	0.042	4.843
-0.629	-0.642	-0.558	2.911
-1.785	-0.491	-0.461	9.515
-0.853	0.301	0.625	12.220
-2.198	0.709	0.698	8.800
-0.880	-0.217	-1.507	18.503
-0.032	0.938	0.971	7.223
-0.487	0.464	-0.470	1.450
-0.602	-1.015	-1.052	10.866
-0.115	-0.148	0.570	9.661
0.055	-0.010	-0.102	3.052
1.166	-0.218	1.811	5.030
-0.299	-0.713	1.157	12.459
-1.548	-0.505	-0.383	17.491
0.481	0.052	-0.147	19.601
0.022	-1.045	-0.811	6.619
-1.356	-0.113	-0.785	3.197
-0.248	0.250	0.366	2.827
0.514	-0.466	-0.662	7.754
-0.140	0.147	0.850	4.193
1.503	0.388	-0.890	9.769
0.037	0.765	-0.162	2.477
-1.334	-0.724	0.489	16.790
-0.645	0.372	-0.480	2.834
-0.922	0.749	-0.030	0.165
-0.400	0.487	1.078	4.963
1.032	-0.077	-0.791	12.626
0.461	-0.325	-0.710	16.959
-0.193	-0.954	0.571	14.656
-0.460	0.978	-0.570	6.729
1.212	0.119	-0.979	9.262
-1.332	-0.473	0.789	9.844
-0.529	-1.201	1.106	16.995
0.181	-0.319	0.540	9.097
-0.638	1.241	0.562	11.062
0.686	-1.143	0.729	12.088
-0.390	-2.018	0.713	12.411
-0.873	1.511	-0.953	5.244
-1.244	0.629	-0.062	12.298
-0.720	-1.355	0.313	0.343
-1.657	-1.028	1.224	2.847
0.365	-0.394	-0.068	10.387
-0.445	-0.348	-0.583	19.649
-0.002	-0.142	-0.199	13.658
-0.727	-0.208	1.829	5.761
0.491	-0.664	-0.818	15.336
-1.500	-0.178	1.838	19.798
-1.165	-0.595	-0.176	9.239
0.211	1.216	0.401	0.823
-0.793	-1.776	0.626	11.224
0.132	-0.338	-1.670	9.500
-3.112	-0.275	0.136	3.291
-0.730	-0.505	0.240	12.216
-0.746	-0.514	-0.473	2.436
0.521	-1.220	1.637	5.548
0.813	0.259	-1.306	19.596
-0.619	0.176	0.354	9.744
0.442	1.683	-0.218	6.386
-0.571	0.184	0.764	8.459
0.111	-0.777	-0.508	11.394
0.213	-0.918	-0.527	14.634
-0.019	0.886	-1.786	13.128
0.432	0.959	0.995	0.338
-2.114	-1.598	0.081	11.088
-1.242	0.414	1.617	14.793
0.536	-1.368	-0.417	14.029
-0.502	0.857	-1.528	11.297
-0.059	1.605	0.682	4.444
1.317	-0.248	0.538	8.397
-0.068	0.189	1.060	6.917
-0.482	-0.185	0.107	2.169
-0.671	1.583	0.427	13.950
-0.365	-0.290	-1.003	19.418
-1.159	0.710	0.309	13.168
0.438	1.362	0.475	16.564
0.096	0.067	-0.330	4.946
0.473	-0.233	1.852	4.158
0.373	-1.173	-0.300	2.759
1.585	1.841	2.937	9.114
1.013	-1.005	-2.361	14.048
-0.787	-1.390	-0.622	14.231
1.507	-0.695	-0.165	4.609
-0.853	1.266	0.157	2.182
0.692	-0.272	-0.825	14.268
0.871	0.814	0.433	19.173
-0.234	1.451	2.539	2.200
0.631	-1.189	-1.343	2.138
0.638	0.539	0.522	0.707
0.550	0.737	-0.753	12.747
-0.076	-0.387	-0.247	6.926
-0.634	-1.535	-0.047	1.594
1.076	2.129	1.466	8.197
1.236	0.625	-0.714	14.404
-1.303	-0.712	0.248	10.842
1.140	-0.582	0.713	19.642
-1.819	0.370	0.151	5.540
1.070	-1.098	1.308	4.744
-0.329	0.833	-0.482	15.157
0.912	-1.903	0.607	13.621
0.163	2.079	1.600	11.908
0.192	-0.771	-0.654	1.730
1.979	0.893	-0.218	5.761
0.632	-0.397	0.019	19.262
0.423	-0.492	1.472	9.164
1.338	-1.644	-0.896	6.603
0.447	1.960	0.083	18.705
-2.333	-0.538	-0.592	1.074
1.317	0.435	-0.297	7.123
0.135	-1.715	0.329	9.394
-0.309	0.385	-0.414	15.424
1.955	0.374	-2.275	9.661
1.111	1.269	-0.123	13.703
0.546	-0.235	-0.555	15.419
-1.634	1.603	0.830	6.565
0.069	1.439	-0.006	4.404
-1.959	-0.120	0.594	5.656
-1.117	-0.847	-0.905	10.852
-0.829	0.242	-1.828	6.221
5.425	5.022	5.633	5.326
5.367	9.003	3.869	5.124
3.584	5.423	5.749	6.735
4.643	1.639	3.982	3.924
5.092	6.420	4.213	6.620
7.656	4.032	4.442	5.352
4.556	2.994	4.459	5.318
4.614	1.101	4.623	6.179
3.918	8.608	5.751	6.326
4.719	7.712	5.245	5.316
4.713	3.324	5.349	4.291
5.007	5.858	4.060	3.385
7.008	9.214	3.686	4.678
6.445	4.832	6.399	5.213
5.545	8.589	4.336	4.662
4.232	7.587	4.868	5.423
6.659	5.265	3.586	4.680
2.551	9.840	4.821	5.015
3.269	8.091	5.544	4.747
7.112	6.291	4.988	3.318
3.902	5.371	5.542	5.399
5.704	3.922	4.670	6.170
4.111	2.822	6.099	4.635
3.800	1.238	5.510	7.652
4.335	7.643	4.332	5.405
4.626	0.040	5.058	6.157
5.964	2.792	3.923	5.143
4.964	1.275	4.584	5.005
5.611	0.914	2.921	4.628
4.124	3.181	4.331	4.046
7.780	2.554	7.698	5.728
4.700	5.247	3.876	5.172
4.843	6.854	4.820	4.202
7.418	3.204	4.507	4.127
3.791	1.921	5.190	2.888
4.223	2.231	4.409	4.344
5.305	4.528	3.861	7.173
5.482	3.080	6.213	5.702
5.540	4.554	5.887	5.034
7.041	9.071	5.757	5.915
4.465	8.347	6.849	5.339
6.830	7.779	5.744	6.304
3.806	2.094	5.327	6.607
4.619	3.870	5.404	5.768
3.893	9.542	5.414	4.710
6.198	4.071	4.554	6.206
4.706	9.743	6.310	4.306
4.454	7.160	3.082	4.773
4.420	2.156	4.314	4.247
3.808	6.185	3.184	3.782
3.688	4.698	7.204	3.476
